AADM ,Athletic Administration-C4 ,
ACCT ,Accountancy ,
ALHE ,Allied Health ,
ANTH ,Anthropology ,
APLS ,Applied Science ,
APPS ,Appalachian Studies ,
APSD ,Appalachian Studies-C4 ,
ARTA ,Art ,
ASGC ,Archival Studies-C4 ,
ASTL ,Advncd Stdies in Tching & Lrni ,
AUDI ,Audiology ,
BAGC ,Business Administration-C4 ,
BAMN ,Business Administration-C4 & MBA ,
BGSD ,General Studies ,
BIOL ,Biology ,
BISS ,Biostatistics-C4 ,
BLUE ,Bluegrass ,
BMDS ,Brand and Media Strategy ,
BMED ,Biomedical Sciences ,
BSIS ,Interdisciplinary Studies (Continuing Education) ,
CADA ,Clinical Alcohol & Drug Abuse Counseling Studies ,
CADP ,Cardiopulmonary Science ,
CCLP ,Community College Leadership-C4 ,
CDIS ,Communicative Disorders Inactive ,201510
CHEM ,Chemistry ,
CISC ,Computing ,
CJCR ,Criminal Justice & Criminology ,
CLNU ,Clinical Nutrition ,
CMLD ,Community Leadership-C4 ,
CMSS ,Communic & Storytelling Studies ,
CMST ,Communication Studies ,
CNSL ,Counseling ,
CSCI ,Computer & Information Science ,
DGMK ,Digital Marketing ,
DHYG ,Dental Hygiene ,
DIGM ,Digital Media ,
DPTH ,Physical Therapy ,
EBUS ,E-Business ,Inactive 
ECDV ,Early Childhood Development ,
ECED ,Early Childhood Education ,
ECEE ,Early Childhood Elementary Emergent Inquiry-C4 ,
ECOA ,Economics - Arts & Sciences ,
ECON ,Economics ,
EDEV ,Economic Development ,
EDLR ,Educational Leadership ,
EDMT ,Educ'l Media & Educ'l Technolo ,
EEDM ,Elementary Education ,
ELME ,Elementary Education ,
ENGG ,Engineering ,
ENGL ,English ,
ENHS ,Environmental Health Sciences ,
ENTC ,Engineering Technology ,
ENVH ,Environmental Health ,
EPID ,Epidemiology-C4 ,
EPRL ,Entrepreneurial Leadership-C4 ,Inactive 
ETCG ,Emerging Technologies-C4 ,Inactive 
FACS ,Family and Consumer Sciences ,Inactive 
FDEX ,Forensic Document Examination-C4 ,
FMPD ,Film Production ,
FNCE ,Finance ,
FNPR ,Family Nurse Practitioner-C4 ,
FPRO ,Public Health Fundamentals-C3 ,
GEOG ,Geography Inactive ,201810
GEOS ,Geosciences ,
